,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,line
121,40660,Armitage,01/01/2001,3338.0,1060.5,484.8,80102,brown
122,40800,Sedgwick,01/01/2001,2132.2,963.3,498.8,53255,brown
123,40710,Chicago/Franklin,01/01/2001,4052.4,1354.0,550.8,97322,brown
124,40460,Merchandise Mart,01/01/2001,6107.6,1022.3,347.6,140195,brown
125,40930,Midway Airport,01/01/2001,7579.6,2506.0,1915.6,186353,orange
126,40960,Pulaski-Orange,01/01/2001,5021.7,1257.8,605.6,118537,orange
127,41150,Kedzie-Midway,01/01/2001,2907.8,1150.0,583.4,71488,orange
128,40310,Western-Orange,01/01/2001,3216.8,1051.3,552.6,77738,orange
129,40120,35th/Archer,01/01/2001,2034.3,640.8,343.4,49035,orange
130,41060,Ashland-Orange,01/01/2001,1280.0,553.5,304.0,31895,orange
131,41130,Halsted-Orange,01/01/2001,2385.1,679.3,357.4,56976,orange
132,40730,Washington/Wells,01/01/2001,7217.2,718.3,303.0,163166,brown
133,41010,Rockwell,04/01/2006,0.0,0.0,0.0,0,brown
134,40040,Quincy/Wells,01/01/2001,7928.3,895.8,431.0,180161,brown
135,40160,LaSalle/Van Buren,01/01/2001,3638.3,300.0,123.4,81860,brown
136,40850,Library,01/01/2001,2391.6,701.8,248.0,56662,brown
137,40680,Adams/Wabash,01/01/2001,6918.8,2206.0,978.2,165928,green
140,40260,State/Lake,01/01/2001,8352.5,3808.5,2390.8,210942,green
141,40380,Clark/Lake,01/01/2001,15174.9,2356.3,1363.4,350089,blue
142,40900,Howard,02/01/2001,6389.5,3761.0,2534.3,152971,red
143,41190,Jarvis,02/01/2001,1510.5,1079.3,756.5,37553,red
144,40100,Morse,02/01/2001,4478.1,2999.8,2155.8,110184,red
145,41300,Loyola,02/01/2001,5010.0,3339.8,2143.0,122130,red
146,40760,Granville,02/01/2001,3288.7,2210.3,1601.8,81022,red
147,40880,Thorndale,02/01/2001,3099.1,1866.0,1343.8,74821,red
148,41380,Bryn Mawr,02/01/2001,4547.2,2706.8,1997.8,109762,red
149,40340,Berwyn,02/01/2001,3420.1,2073.8,1564.3,82954,red
150,41200,Argyle,02/01/2001,2775.0,1764.3,1311.0,67801,red
151,40770,Lawrence,02/01/2001,2742.4,1864.0,1386.3,67848,red
152,40540,Wilson,02/01/2001,5368.7,3341.3,2085.0,129078,red
153,40080,Sheridan,02/01/2001,4518.0,2572.3,1784.8,107787,red
154,41420,Addison-North Main,02/01/2001,4992.7,2905.5,1965.0,119335,red
155,41320,Belmont-North Main,02/01/2001,9317.7,6584.5,4737.8,231643,red
156,41220,Fullerton,02/01/2001,10417.9,5102.0,3505.3,242787,red
157,40650,North/Clybourn,02/01/2001,3576.6,2561.0,1915.8,89439,red
158,40630,Clark/Division,02/01/2001,6703.9,4672.8,3485.8,166712,red
159,41450,Chicago/State,02/01/2001,12516.1,8718.3,6122.5,309684,red
160,40330,Grand/State,02/01/2001,8246.9,5431.0,3910.8,202304,red
161,41660,Lake/State,02/01/2001,13598.5,5792.3,3971.0,311022,red
163,41090,Monroe/State,02/01/2001,7399.0,2665.0,1488.5,164594,red
164,40560,Jackson/State,02/01/2001,11756.0,3877.3,2125.8,259132,red
165,41490,Harrison,02/01/2001,2645.3,1287.0,775.8,61156,red
166,41400,Roosevelt,02/01/2001,5766.3,3365.8,2268.3,137861,red
167,41000,Cermak-Chinatown,02/01/2001,2553.9,2574.0,2002.0,69382,red
168,40190,Sox-35th-Dan Ryan,02/01/2001,3588.6,2165.0,1604.8,86850,red
169,41230,47th-Dan Ryan,02/01/2001,2400.7,1603.3,1197.3,59216,red
170,41170,Garfield-Dan Ryan,02/01/2001,4587.7,3002.8,2019.3,111842,red
171,40910,63rd-Dan Ryan,02/01/2001,3586.3,2416.5,1950.5,89194,red
172,40990,69th,02/01/2001,6869.5,4392.8,2994.0,166937,red
